user_id,age_group,city_tier,subscription_date,subscription_plan,last_active_date,plan_change_date,new_subscription_plan
UIDJS0000751588f,18-24,Tier 1,2024-06-10,Premium,Inactive,Inactive,None
UIDJS000093eeb86,18-24,Tier 1,2024-11-09,Free,Inactive,Inactive,None
UIDJS00010d7fa1e,25-34,Tier 1,2024-08-08,Free,Inactive,Inactive,None
UIDJS00013411a85,35-44,Tier 2,2024-05-31,VIP,Inactive,Inactive,None
UIDJS0003a3f54cf,35-44,Tier 1,2024-09-20,Premium,Inactive,Inactive,None
UIDJS0003c1e814d,45+,Tier 1,2024-09-29,Free,Inactive,Inactive,None
UIDJS0005148a254,18-24,Tier 1,2024-11-10,Premium,Inactive,Inactive,None
UIDJS00053f36fed,25-34,Tier 1,2024-03-07,Premium,Inactive,Inactive,None
UIDJS00054eb2210,25-34,Tier 3,2024-04-12,Premium,Inactive,Inactive,None
UIDJS0005f952957,25-34,Tier 3,2024-09-29,VIP,2024-12-02,Inactive,None
UIDJS00066780176,35-44,Tier 2,2024-08-14,Free,2024-10-05,Inactive,None
UIDJS00095c87d92,35-44,Tier 1,2024-06-06,Premium,2024-07-22,Inactive,None
UIDJS000cd6a7fe8,25-34,Tier 1,2024-09-18,Premium,Inactive,2024-12-18,VIP
UIDJS000e99e1896,25-34,Tier 1,2024-05-14,Free,Inactive,Inactive,None
UIDJS0010511043c,45+,Tier 1,2024-10-13,VIP,Inactive,Inactive,None
UIDJS00128a22453,25-34,Tier 1,2024-11-19,VIP,Inactive,Inactive,None
UIDJS001420c2f0f,25-34,Tier 2,2024-04-25,VIP,2024-11-13,Inactive,None
UIDJS0014d1ad763,18-24,Tier 1,2024-08-10,Free,Inactive,Inactive,None
UIDJS0018cdf086d,25-34,Tier 2,2024-03-18,VIP,Inactive,Inactive,None
UIDJS0019b04b32f,18-24,Tier 1,2024-02-11,VIP,Inactive,2024-08-11,Free
UIDJS001aa8810f4,25-34,Tier 1,2024-06-23,Premium,Inactive,Inactive,None
UIDJS001b7c6be2d,18-24,Tier 1,2024-11-03,Premium,Inactive,Inactive,None
UIDJS001cbec7b1d,18-24,Tier 1,2024-08-29,VIP,Inactive,Inactive,None
UIDJS001defd7e03,25-34,Tier 1,2024-01-18,VIP,Inactive,2024-08-18,Free
UIDJS001e6dc7e2f,25-34,Tier 1,2024-02-04,VIP,Inactive,Inactive,None
UIDJS00242dbc61e,35-44,Tier 2,2024-06-27,Free,2024-08-11,Inactive,None
UIDJS00248560e10,25-34,Tier 1,2024-02-15,Premium,2024-04-30,Inactive,None
UIDJS00252193546,25-34,Tier 1,2024-02-01,Premium,Inactive,Inactive,None
UIDJS0025897ad93,25-34,Tier 1,2024-01-17,Premium,2024-04-12,Inactive,None
UIDJS0025e8e93b2,35-44,Tier 3,2024-06-08,Free,Inactive,Inactive,None
UIDJS00297537d46,25-34,Tier 2,2024-07-25,Premium,Inactive,Inactive,None
UIDJS002b38945e6,25-34,Tier 1,2024-04-30,Free,Inactive,Inactive,None
UIDJS002baf6c79c,25-34,Tier 2,2024-04-21,VIP,2024-06-14,Inactive,None
UIDJS002d56c1d84,18-24,Tier 1,2024-06-26,Premium,Inactive,Inactive,None
UIDJS002d59d668d,25-34,Tier 3,2024-06-24,VIP,Inactive,Inactive,None
